Drumming_bout,Subspecies,Population,Community,Individual,Date,Total_bout_duration,N_beats,N_Interbeats,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context
190,EAC,Budongo,Sonso,Individual 49,10.01.20,0.40183,3,2,0.194285,0.20754,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
212,EAC,Budongo,Sonso,Individual 48,20.01.20,0.10626,2,1,0.10626,,,,,,,,,,,,,,,,,,,,,,,,,,Unk,Unk,Unk,0,0,Feeding,Traveling,Traveling
213,EAC,Budongo,Sonso,Individual 48,20.01.20,0.05977,2,1,0.059771,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
214,EAC,Budongo,Sonso,Individual 49,20.01.20,0.09962,2,1,0.099619,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Traveling,Traveling
215,EAC,Budongo,Sonso,Individual 49,20.01.20,0.1129,2,1,0.112902,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
217,EAC,Budongo,Sonso,Individual 56,20.01.20,0.94188,5,4,0.159552,0.22559,0.268403,0.288334,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Traveling,Traveling
218,EAC,Budongo,Sonso,Individual 57,20.01.20,0.85165,3,2,0.084585,0.767067,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Unk,1,1,Traveling,Traveling,Traveling
219,EAC,Budongo,Sonso,Individual 48,20.01.20,0.06475,2,1,0.064752,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Traveling,Resting,Traveling
220,EAC,Budongo,Sonso,Individual 48,20.01.20,0.71394,3,2,0.089657,0.624279,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting
221,EAC,Budongo,Sonso,Individual 48,20.01.20,0.09962,2,1,0.099619,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
225,EAC,Budongo,Sonso,Individual 57,23.01.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Resting,Traveling,Traveling
226,EAC,Budongo,Sonso,Individual 57,23.01.20,3.73004,12,11,0.083981,0.252368,0.059771,0.192597,0.066413,0.185956,0.099619,0.36527,1.487645,0.285575,0.650845,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,Traveling,Traveling,Traveling
231,EAC,Budongo,Sonso,Individual 48,23.01.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Traveling,Traveling,Traveling
232,EAC,Budongo,Sonso,Individual 57,23.01.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Traveling,Resting,Traveling
235,EAC,Budongo,Sonso,Individual 55,29.01.20,2.47455,7,6,0.156742,0.637562,0.239086,0.275613,0.355308,0.810235,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,Resting,Traveling,Traveling
236,EAC,Budongo,Sonso,Individual 55,29.01.20,0.28225,2,1,0.175994,0.10626,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Resting,Resting,Resting
237,EAC,Budongo,Sonso,Individual 55,29.01.20,3.07491,4,3,0.126184,1.467721,1.481003,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Resting,Resting,Resting
238,EAC,Budongo,Sonso,Individual 55,29.01.20,2.31521,5,4,0.110306,0.777029,1.30833,0.119543,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Unk,1,0,Resting,Resting,Resting
239,EAC,Budongo,Sonso,Individual 55,29.01.20,0.13615,2,1,0.136146,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Traveling,Traveling,Traveling
240,EAC,Budongo,Sonso,Individual 49,29.01.20,0.09398,2,1,0.093977,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
241,EAC,Budongo,Sonso,Individual 47,01.02.20,0.08634,2,1,0.086337,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
243,EAC,Budongo,Sonso,Individual 55,02.02.20,0.27893,2,1,0.278933,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Traveling,Traveling
244,EAC,Budongo,Sonso,Individual 47,27.02.20,0.09298,2,1,0.092978,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Traveling,Traveling,Traveling
245,EAC,Budongo,Sonso,Individual 57,27.02.20,0.80359,3,2,0.079695,0.723898,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Traveling,Traveling,Traveling
246,EAC,Budongo,Sonso,Individual 60,27.02.20,0.25237,3,2,0.166032,0.086337,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Traveling,Traveling
249,EAC,Budongo,Sonso,Individual 56,27.02.20,1.43451,5,4,0.152749,0.066413,1.089168,0.126184,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Resting,Traveling
250,EAC,Budongo,Sonso,Individual 56,27.02.20,1.57624,4,3,0.098552,0.212521,1.265162,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Unk,3,0,Resting,Resting,Resting
251,EAC,Budongo,Sonso,Individual 56,27.02.20,1.75994,9,8,0.073054,0.305498,0.139467,0.192597,0.059771,0.438324,0.272771,0.278454,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,Resting,Resting,Resting
252,EAC,Budongo,Sonso,Individual 60,27.02.20,0.11954,2,1,0.119543,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting
253,EAC,Budongo,Sonso,Individual 48,27.02.20,0.10626,2,1,0.10626,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
267,EAC,Budongo,Sonso,Individual 56,13.03.20,2.14513,11,10,0.166032,0.15939,0.425041,0.192597,0.179314,0.197578,0.307159,0.079695,0.185956,0.252368,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling
271,EAC,Budongo,Sonso,Individual 60,05.07.11,0.57718,7,6,0.099203,0.128062,0.11724,0.028859,0.147903,0.055914,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Resting,Traveling,Traveling
272,EAC,Budongo,Sonso,Individual 60,05.07.11,0.54699,4,3,0.212311,0.208147,0.126532,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling
273,EAC,Budongo,Sonso,Individual 47,02.08.11,1.12917,5,4,0.332563,0.042537,0.688327,0.065739,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting
274,EAC,Budongo,Sonso,Individual 60,31.08.11,0.52978,5,4,0.166281,0.058005,0.119877,0.185616,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Traveling,Traveling
276,EAC,Budongo,Sonso,Individual 60,21.06.21,0.86038,5,4,0.366407,0.176418,0.203559,0.113993,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,Traveling,Traveling,Traveling
280,EAC,Budongo,Waibira,Individual 87,09.03.17,0.10487,2,1,0.104873,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
282,EAC,Budongo,Waibira,Individual 92,27.04.17,1.49196,7,6,0.087762,0.109038,0.194141,0.087762,0.242011,0.771243,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Traveling
283,EAC,Budongo,Waibira,Individual 92,27.04.17,1.08445,7,6,0.224404,0.132825,0.172673,0.10294,0.079695,0.371911,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Traveling
298,EAC,Budongo,Waibira,Individual 83,12.06.19,0.08931,2,1,0.089311,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
300,EAC,Budongo,Waibira,Individual 83,15.06.19,0.91296,4,3,0.05313,0.786777,0.073054,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
301,EAC,Budongo,Waibira,Individual 77,15.06.19,0.07121,2,1,0.071214,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
302,EAC,Budongo,Waibira,Individual 77,15.06.19,0.08247,2,1,0.082468,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
303,EAC,Budongo,Waibira,Individual 77,15.06.19,0.0785,2,1,0.078503,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
309,EAC,Budongo,Waibira,Individual 79,20.06.19,0.7488,4,3,0.097959,0.345687,0.305158,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
310,EAC,Budongo,Waibira,Individual 79,20.06.19,0.42772,3,2,0.09566,0.332064,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
313,EAC,Budongo,Waibira,Individual 87,23.06.19,1.04268,5,4,0.074714,0.295537,0.351987,0.320441,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Let-Down,2,3,NV,NV,Resting
314,EAC,Budongo,Waibira,Individual 80,23.06.19,0.56678,4,3,0.075441,0.419072,0.072269,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
318,EAC,Budongo,Waibira,Individual 87,23.06.19,0.1041,2,1,0.104104,,,,,,,,,,,,,,,,,,,,,,,,,,With,Pause,Pause,0,0,NV,NV,Resting
320,EAC,Budongo,Waibira,Individual 77,26.06.19,0.088,2,1,0.087997,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
321,EAC,Budongo,Waibira,Individual 77,26.06.19,0.0797,2,1,0.079695,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
323,EAC,Budongo,Waibira,Individual 80,03.07.19,0.32439,3,2,0.042131,0.282254,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Unk,1,0,NV,NV,Traveling
324,EAC,Budongo,Waibira,Individual 77,03.07.19,0.07417,2,1,0.07417,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
325,EAC,Budongo,Waibira,Individual 83,08.07.19,0.46087,4,3,0.067715,0.335543,0.057608,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,NV,NV,Traveling
326,EAC,Budongo,Waibira,Individual 81,08.07.19,0.20422,2,1,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,Resting
328,EAC,Budongo,Waibira,Individual 80,11.07.19,0.07688,2,1,0.076876,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
329,EAC,Budongo,Waibira,Individual 92,16.07.19,0.84633,6,5,0.140699,0.126184,0.116222,0.251538,0.21169,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,NV,NV,Traveling
330,EAC,Budongo,Waibira,Individual 92,16.07.19,0.37067,4,3,0.078035,0.099204,0.193427,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
331,EAC,Budongo,Waibira,Individual 80,16.07.19,0.13283,2,1,0.132825,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
332,EAC,Budongo,Waibira,Individual 90,16.07.19,0.06528,2,1,0.06528,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
333,EAC,Budongo,Waibira,Individual 79,20.07.19,0.75711,4,3,0.105724,0.324177,0.327204,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Let-Down,2,3,NV,NV,Traveling
334,EAC,Budongo,Waibira,Individual 79,20.07.19,1.16515,4,3,0.101279,0.324177,0.739694,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,NV,NV,Traveling
335,EAC,Budongo,Waibira,Individual 79,20.07.19,0.39652,3,2,0.101587,0.294929,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
336,EAC,Budongo,Waibira,Individual 79,20.07.19,0.43617,3,2,0.073698,0.362475,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
337,EAC,Budongo,Waibira,Individual 79,20.07.19,0.415,3,2,0.076402,0.338598,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Let-Down,1,1,NV,NV,Traveling
338,EAC,Budongo,Waibira,Individual 79,20.07.19,0.88823,3,2,0.377914,0.510315,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Let-Down,2,3,NV,NV,Traveling
339,EAC,Budongo,Waibira,Individual 79,20.07.19,0.08627,2,1,0.086273,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
340,EAC,Budongo,Waibira,Individual 79,20.07.19,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
341,EAC,Budongo,Waibira,Individual 79,20.07.19,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
348,EAC,Budongo,Waibira,Individual 79,27.07.19,0.468,2,1,0.467996,,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Unk,1,0,NV,NV,Traveling
351,EAC,Budongo,Waibira,Individual 77,23.11.19,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
352,EAC,Budongo,Waibira,Individual 87,27.11.19,1.04435,5,4,0.096414,0.345266,0.320511,0.28216,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
354,EAC,Budongo,Waibira,Individual 79,06.12.19,0.2973,2,1,0.297296,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,NV,NV,Resting
355,EAC,Budongo,Waibira,Individual 88,22.12.19,0.74415,3,2,0.426738,0.317408,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Traveling
356,EAC,Budongo,Waibira,Individual 77,23.12.19,0.24931,3,2,0.173589,0.075722,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
357,EAC,Budongo,Waibira,Individual 79,23.12.19,0.31064,2,1,0.310636,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
358,EAC,Budongo,Waibira,Individual 79,23.12.19,0.1443,2,1,0.144304,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Resting
359,EAC,Budongo,Waibira,Individual 79,23.12.19,0.16972,2,1,0.169716,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,Traveling
360,EAC,Budongo,Waibira,Individual 79,23.12.19,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
361,EAC,Budongo,Waibira,Individual 79,28.12.19,0.27742,2,1,0.277423,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,Traveling
362,EAC,Budongo,Waibira,Individual 77,31.12.19,1.75302,4,3,0.094987,0.967995,0.690034,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
363,EAC,Budongo,Waibira,Individual 79,31.12.19,0.28403,2,1,0.284029,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
364,EAC,Budongo,Waibira,Individual 77,06.01.20,0.11681,2,1,0.116807,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
365,EAC,Budongo,Waibira,Individual 83,17.01.20,0.09701,2,1,0.097014,,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,NV,NV,Resting
366,EAC,Budongo,Waibira,Individual 83,17.01.20,0.07516,2,1,0.075157,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
369,EAC,Budongo,Waibira,Individual 87,18.01.20,0.25626,3,2,0.166722,0.089536,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,NV,Resting
373,EAC,Budongo,Waibira,Individual 80,18.01.20,0.07285,2,1,0.072852,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,NV,Traveling
374,EAC,Budongo,Waibira,Individual 87,18.01.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
375,EAC,Budongo,Waibira,Individual 87,19.01.20,1.92265,9,8,0.10294,0.249048,0.295537,0.361949,0.04981,0.31546,0.232444,0.31546,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
377,EAC,Budongo,Waibira,Individual 79,19.01.20,0.61764,3,2,0.31546,0.302178,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
381,EAC,Budongo,Waibira,Individual 77,23.01.20,0.4139,3,2,0.075587,0.338316,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
383,EAC,Budongo,Waibira,Individual 80,23.01.20,0.12552,2,1,0.125519,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
384,EAC,Budongo,Waibira,Individual 91,23.01.20,0.09132,2,1,0.091317,,,,,,,,,,,,,,,,,,,,,,,,,,Unk,Unk,Unk,0,0,NV,NV,Traveling
385,EAC,Budongo,Waibira,Individual 77,23.01.20,0.07906,2,1,0.079058,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
398,EAC,Budongo,Waibira,Individual 81,25.01.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,NV,Traveling
404,EAC,Budongo,Waibira,Individual 77,28.01.20,0.07663,2,1,0.07663,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
405,EAC,Budongo,Waibira,Individual 93,28.01.20,0.03072,2,1,0.030716,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Resting
410,EAC,Budongo,Waibira,Individual 87,28.01.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
411,EAC,Budongo,Waibira,Individual 82,28.01.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
413,EAC,Budongo,Waibira,Individual 92,29.01.20,1.38814,10,9,0.193146,0.16017,0.116202,0.16331,0.169591,0.10678,0.169591,0.150748,0.158599,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,NV,NV,Traveling
422,EAC,Budongo,Waibira,Individual 93,03.02.20,0.37855,3,2,0.288895,0.089657,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Resting
423,EAC,Budongo,Waibira,Individual 93,03.02.20,0.08361,2,1,0.083606,,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,NV,NV,Resting
424,EAC,Budongo,Waibira,Individual 93,03.02.20,0.07595,2,1,0.075947,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
425,EAC,Budongo,Waibira,Individual 79,03.02.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
426,EAC,Budongo,Waibira,Individual 79,04.02.20,1.00159,6,5,0.070651,0.062339,0.203642,0.365724,0.299229,,,,,,,,,,,,,,,,,,,,,,With,Climax,Let-Down,2,3,NV,NV,Traveling
427,EAC,Budongo,Waibira,Individual 89,04.02.20,0.431,3,2,0.363,0.068,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
433,EAC,Budongo,Waibira,Individual 83,04.02.20,0.06475,2,1,0.064752,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Resting
434,EAC,Budongo,Waibira,Individual 83,04.02.20,0.10294,2,1,0.10294,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
435,EAC,Budongo,Waibira,Individual 79,04.02.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,Traveling
436,EAC,Budongo,Waibira,Individual 87,04.02.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
441,EAC,Budongo,Waibira,Individual 77,05.02.20,0.71238,3,2,0.582855,0.129523,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
442,EAC,Budongo,Waibira,Individual 83,05.02.20,0.69619,3,2,0.051809,0.644379,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,NV,NV,Traveling
443,EAC,Budongo,Waibira,Individual 81,05.02.20,0.07804,2,1,0.078035,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
446,EAC,Budongo,Waibira,Individual 83,05.02.20,0.076,2,1,0.075999,,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,NV,NV,Traveling
447,EAC,Budongo,Waibira,Individual 81,05.02.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
449,EAC,Budongo,Waibira,Individual 92,06.02.20,0.78604,7,6,0.091756,0.088697,0.177394,0.085639,0.143751,0.198804,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
451,EAC,Budongo,Waibira,Individual 92,06.02.20,0.69096,6,5,0.116222,0.056451,0.119543,0.099619,0.299124,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
454,EAC,Budongo,Waibira,Individual 85,08.02.20,0.868,3,2,0.570199,0.297796,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Traveling
455,EAC,Budongo,Waibira,Individual 85,08.02.20,0.46416,3,2,0.059717,0.404447,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
456,EAC,Budongo,Waibira,Individual 88,08.02.20,0.07999,2,1,0.079988,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
457,EAC,Budongo,Waibira,Individual 83,08.02.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,NV,NV,Traveling
458,EAC,Budongo,Waibira,Individual 80,09.02.20,0.08928,2,1,0.089278,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
459,EAC,Budongo,Waibira,Individual 93,09.02.20,0.63153,2,1,0.631528,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Unk,1,0,NV,NV,Traveling
460,EAC,Budongo,Waibira,Individual 93,09.02.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
461,EAC,Budongo,Waibira,Individual 83,10.02.20,0.49149,3,2,0.053058,0.438428,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
464,EAC,Budongo,Waibira,Individual 83,10.02.20,0.10027,2,1,0.100274,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
466,EAC,Budongo,Waibira,Individual 92,11.02.20,1.04517,7,6,0.178484,0.144448,0.141127,0.174333,0.195917,0.21086,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
469,EAC,Budongo,Waibira,Individual 89,11.02.20,0.22912,3,2,0.139467,0.089657,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
473,EAC,Budongo,Waibira,Individual 77,11.02.20,0.06645,2,1,0.066448,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
475,EAC,Budongo,Waibira,Individual 83,17.02.20,0.37191,3,2,0.089657,0.282254,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,NV,NV,Resting
476,EAC,Budongo,Waibira,Individual 83,17.02.20,0.35623,3,2,0.099604,0.256628,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,NV,NV,Resting
477,EAC,Budongo,Waibira,Individual 91,17.02.20,0.096,2,1,0.095899,,,,,,,,,,,,,,,,,,,,,,,,,,Unk,Unk,Unk,0,0,NV,NV,Traveling
478,EAC,Budongo,Waibira,Individual 81,18.02.20,0.98631,3,2,0.484775,0.501533,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,NV,Resting
481,EAC,Budongo,Waibira,Individual 84,18.02.20,0.60073,3,2,0.101372,0.499353,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
482,EAC,Budongo,Waibira,Individual 85,18.02.20,0.78815,3,2,0.106066,0.682084,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
484,EAC,Budongo,Waibira,Individual 83,18.02.20,0.07831,2,1,0.078314,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Resting
485,EAC,Budongo,Waibira,Individual 77,18.02.20,0.08282,2,1,0.082824,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
487,EAC,Budongo,Waibira,Individual 83,18.02.20,0.09096,2,1,0.090955,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Resting
488,EAC,Budongo,Waibira,Individual 83,18.02.20,0.10159,2,1,0.101585,,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,NV,NV,Resting
489,EAC,Budongo,Waibira,Individual 83,18.02.20,0.08966,2,1,0.089657,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,NV,NV,Traveling
