Drumming_bout,Subspecies,Population,Community,Individual,Pop_com_code,Com_indiv_code,Date,Date_year,Date_month,Date_day,Days_before_2024,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context,Total_bout_duration,N_hits,Bout_cv,Bout_npvi,Bout_entropy,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,Interbeat 27
44,Eastern,Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),07.06.19,2019.0,06,07,1669.0,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,0.84676,4,0.9235907877261113,147.69509622212917,1.3082708345352603,0.097129,0.650921,0.098713,,,,,,,,,,,,,,,,,,,,,,,,
49,Eastern,Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),07.06.19,2019.0,06,07,1669.0,With,Pause,Climax,1,2,Traveling,Traveling,Traveling,0.78367,3,0.7711868516084577,154.23737032169151,1.0,0.089657,0.694013,,,,,,,,,,,,,,,,,,,,,,,,,
50,Eastern,Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),26.06.19,2019.0,06,26,1650.0,With,Let-Down,Let-Down,3,3,Traveling,Resting,Traveling,0.42836,4,0.67796592894896,115.88433862202882,0.0,0.087167,0.278933,0.062262,,,,,,,,,,,,,,,,,,,,,,,,
51,Eastern,Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),14.07.19,2019.0,07,14,1632.0,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,1.74665,5,0.9122690204044198,162.18473934243482,2.0,0.082644,0.571149,0.063092,1.029768,,,,,,,,,,,,,,,,,,,,,,,
52,Eastern,Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),14.07.19,2019.0,07,14,1632.0,With,Build-Up,Climax,1,2,Traveling,Resting,Traveling,1.04419,6,0.588406813838475,50.70296012394226,1.4945555226170317,0.101181,0.210457,0.437102,0.101181,0.194268,,,,,,,,,,,,,,,,,,,,,,
55,Eastern,Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),22.07.19,2019.0,07,22,1624.0,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,0.92978,4,0.9978447503926388,86.69498238493316,1.3082708345352603,0.081738,0.747143,0.100897,,,,,,,,,,,,,,,,,,,,,,,,
56,Eastern,Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),22.07.19,2019.0,07,22,1624.0,With,Build-Up,Roar,1,1,Traveling,Traveling,Traveling,0.93891,4,1.0081839795331529,101.32889497185973,1.3082708345352603,0.10709,0.758765,0.073054,,,,,,,,,,,,,,,,,,,,,,,,
59,Eastern,Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),27.07.19,2019.0,07,27,1619.0,With,Roar,Unk,1,0,Traveling,Resting,Traveling,0.97627,5,0.566218885985776,57.09792689160161,1.4338343733773984,0.442772,0.292216,0.166032,0.075247,,,,,,,,,,,,,,,,,,,,,,,
60,Eastern,Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),27.07.19,2019.0,07,27,1619.0,With,Build-Up,Let-Down,1,3,Resting,Resting,Resting,1.12071,5,1.0565559441346868,125.98541688785618,1.4338343733773984,0.028225,0.777029,0.086337,0.229124,,,,,,,,,,,,,,,,,,,,,,,
69,Eastern,Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),13.10.18,2018.0,10,13,1906.0,With,Roar,Let-Down,1,3,Traveling,Resting,Traveling,1.65469,7,0.7764329729681323,95.40020696111486,2.6165416690705205,0.060781,0.332064,0.6276,0.073054,0.454927,0.10626,,,,,,,,,,,,,,,,,,,,,
72,Eastern,Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),31.10.18,2018.0,10,31,1888.0,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,1.59557,12,0.37319252829097976,44.213236024920676,0.0,0.158818,0.129505,0.162711,0.066413,0.149429,0.10626,0.259001,0.086337,0.215841,0.099619,0.161623,,,,,,,,,,,,,,,,
73,Eastern,Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),31.10.18,2018.0,10,31,1888.0,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,0.38519,3,0.07758687830028504,15.51737566005701,0.0,0.20754,0.177654,,,,,,,,,,,,,,,,,,,,,,,,,
76,Eastern,Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),01.12.18,2018.0,12,01,1857.0,With,Build-Up,Let-Down,1,3,Traveling,Traveling,Traveling,2.5901,15,1.0186378491774617,76.78643578858805,3.0895663114770664,0.081623,0.132825,0.119543,0.534622,0.086337,0.096298,0.146108,0.063092,0.711993,0.249048,0.10294,0.056451,0.05313,0.156086,,,,,,,,,,,,,
92,Eastern,Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),16.06.19,2019.0,06,16,1660.0,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,0.38851,3,0.05982795986759815,11.965591973519631,0.0,0.182635,0.205879,,,,,,,,,,,,,,,,,,,,,,,,,
94,Eastern,Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),18.06.19,2019.0,06,18,1658.0,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,0.48184,4,0.2044233061266367,36.473777539602125,0.0,0.202902,0.122864,0.15607,,,,,,,,,,,,,,,,,,,,,,,,
102,Eastern,Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),02.07.19,2019.0,07,02,1644.0,With,Build-Up,Let-Down,1,3,Traveling,Traveling,Traveling,1.82465,6,1.2610555444429583,79.93454224862691,1.4945555226170317,0.114517,0.166032,1.281765,0.189276,0.073054,,,,,,,,,,,,,,,,,,,,,,
106,Eastern,Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),04.07.19,2019.0,07,04,1642.0,With,Build-Up,Climax,1,2,Traveling,Resting,Traveling,0.91982,6,0.6911831312104718,62.52057417186124,0.0,0.132825,0.099619,0.099619,0.435003,0.152749,,,,,,,,,,,,,,,,,,,,,,
107,Eastern,Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),04.07.19,2019.0,07,04,1642.0,With,Build-Up,Climax,1,2,Resting,Resting,Resting,0.97209,6,0.800683787795438,92.7902603286009,0.0,0.112041,0.073054,0.498095,0.179314,0.109581,,,,,,,,,,,,,,,,,,,,,,
