Drumming_bout,Subspecies,Population,Community,Individual,Date,Total_bout_duration,N_hits,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context,Com_indiv,IBI_i,IBI,IBI_ms,Pop_com_code,Com_indiv_code
109,Eastern,Population A,Community I,Individual 9,06.07.19,0.91982,5,Without,0,0,0,0,Display,Display,Display,SonsoSM,1,0.146108,146.10799999999998,Population A (Community I),Community I (Individual 9)
109,Eastern,Population A,Community I,Individual 9,06.07.19,0.91982,5,Without,0,0,0,0,Display,Display,Display,SonsoSM,3,0.428362,428.362,Population A (Community I),Community I (Individual 9)
110,Eastern,Population A,Community I,Individual 1,13.07.19,0.0797,2,Without,0,0,0,0,Display,Display,Display,SonsoHW,1,0.079695,79.69500000000001,Population A (Community I),Community I (Individual 1)
111,Eastern,Population A,Community I,Individual 1,13.07.19,0.09132,2,Without,0,0,0,0,Display,Display,Display,SonsoHW,1,0.091317,91.317,Population A (Community I),Community I (Individual 1)
112,Eastern,Population A,Community I,Individual 2,22.07.19,0.07471,2,Without,0,0,0,0,Display,Display,Display,SonsoFK,1,0.074714,74.714,Population A (Community I),Community I (Individual 2)
114,Eastern,Population A,Community I,Individual 2,22.07.19,0.25901,2,Without,0,0,0,0,Display,Display,Display,SonsoFK,1,0.25901,259.01,Population A (Community I),Community I (Individual 2)
115,Eastern,Population A,Community I,Individual 2,22.07.19,0.87665,4,Without,0,0,0,0,Display,Display,Display,SonsoFK,1,0.129505,129.505,Population A (Community I),Community I (Individual 2)
115,Eastern,Population A,Community I,Individual 2,22.07.19,0.87665,4,Without,0,0,0,0,Display,Display,Display,SonsoFK,2,0.642543,642.543,Population A (Community I),Community I (Individual 2)
115,Eastern,Population A,Community I,Individual 2,22.07.19,0.87665,4,Without,0,0,0,0,Display,Display,Display,SonsoFK,3,0.1046,104.6,Population A (Community I),Community I (Individual 2)
116,Eastern,Population A,Community I,Individual 2,22.07.19,0.09588,2,Without,0,0,0,0,Display,Display,Display,SonsoFK,1,0.095883,95.883,Population A (Community I),Community I (Individual 2)
117,Eastern,Population A,Community I,Individual 2,27.07.19,0.07222,2,Without,0,0,0,0,Display,Display,Display,SonsoFK,1,0.072224,72.22399999999999,Population A (Community I),Community I (Individual 2)
118,Eastern,Population A,Community I,Individual 8,27.07.19,1.1257,8,With,Build-Up,Climax,1,2,Resting,Resting,Resting,SonsoJS,2,0.092978,92.97800000000001,Population A (Community I),Community I (Individual 8)
118,Eastern,Population A,Community I,Individual 8,27.07.19,1.1257,8,With,Build-Up,Climax,1,2,Resting,Resting,Resting,SonsoJS,7,0.10626,106.25999999999999,Population A (Community I),Community I (Individual 8)
118,Eastern,Population A,Community I,Individual 8,27.07.19,1.1257,8,With,Build-Up,Climax,1,2,Resting,Resting,Resting,SonsoJS,3,0.215841,215.841,Population A (Community I),Community I (Individual 8)
118,Eastern,Population A,Community I,Individual 8,27.07.19,1.1257,8,With,Build-Up,Climax,1,2,Resting,Resting,Resting,SonsoJS,6,0.10626,106.25999999999999,Population A (Community I),Community I (Individual 8)
118,Eastern,Population A,Community I,Individual 8,27.07.19,1.1257,8,With,Build-Up,Climax,1,2,Resting,Resting,Resting,SonsoJS,1,0.136146,136.146,Population A (Community I),Community I (Individual 8)
118,Eastern,Population A,Community I,Individual 8,27.07.19,1.1257,8,With,Build-Up,Climax,1,2,Resting,Resting,Resting,SonsoJS,4,0.132825,132.825,Population A (Community I),Community I (Individual 8)
118,Eastern,Population A,Community I,Individual 8,27.07.19,1.1257,8,With,Build-Up,Climax,1,2,Resting,Resting,Resting,SonsoJS,5,0.335384,335.384,Population A (Community I),Community I (Individual 8)
119,Eastern,Population A,Community I,Individual 2,27.07.19,1.07589,4,With,Build-Up,Build-Up,1,1,Traveling,Resting,Traveling,SonsoFK,1,0.059771,59.771,Population A (Community I),Community I (Individual 2)
119,Eastern,Population A,Community I,Individual 2,27.07.19,1.07589,4,With,Build-Up,Build-Up,1,1,Traveling,Resting,Traveling,SonsoFK,2,0.929778,929.778,Population A (Community I),Community I (Individual 2)
119,Eastern,Population A,Community I,Individual 2,27.07.19,1.07589,4,With,Build-Up,Build-Up,1,1,Traveling,Resting,Traveling,SonsoFK,3,0.086337,86.337,Population A (Community I),Community I (Individual 2)
120,Eastern,Population A,Community I,Individual 2,27.07.19,0.67907,4,Without,0,0,0,0,Display,Display,Display,SonsoFK,2,0.506397,506.397,Population A (Community I),Community I (Individual 2)
120,Eastern,Population A,Community I,Individual 2,27.07.19,0.67907,4,Without,0,0,0,0,Display,Display,Display,SonsoFK,3,0.10294,102.94,Population A (Community I),Community I (Individual 2)
120,Eastern,Population A,Community I,Individual 2,27.07.19,0.67907,4,Without,0,0,0,0,Display,Display,Display,SonsoFK,1,0.069733,69.733,Population A (Community I),Community I (Individual 2)
121,Eastern,Population A,Community I,Individual 2,27.07.19,0.08634,2,Without,0,0,0,0,Display,Display,Display,SonsoFK,1,0.086337,86.337,Population A (Community I),Community I (Individual 2)
122,Eastern,Population A,Community I,Individual 2,27.07.19,0.06973,2,Without,0,0,0,0,Display,Display,Display,SonsoFK,1,0.069733,69.733,Population A (Community I),Community I (Individual 2)
123,Eastern,Population A,Community I,Individual 2,27.07.19,0.05147,2,Without,0,0,0,0,Display,Display,Display,SonsoFK,1,0.05147,51.47,Population A (Community I),Community I (Individual 2)
124,Eastern,Population A,Community I,Individual 2,27.07.19,0.6442,3,Without,0,0,0,0,Display,Display,Display,SonsoFK,2,0.31214,312.14,Population A (Community I),Community I (Individual 2)
124,Eastern,Population A,Community I,Individual 2,27.07.19,0.6442,3,Without,0,0,0,0,Display,Display,Display,SonsoFK,1,0.332064,332.064,Population A (Community I),Community I (Individual 2)
126,Eastern,Population A,Community I,Individual 2,27.07.19,0.14943,2,Without,0,0,0,0,Display,Display,Display,SonsoFK,1,0.149429,149.429,Population A (Community I),Community I (Individual 2)
127,Eastern,Population A,Community I,Individual 1,06.03.19,0.08966,2,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoHW,1,0.089657,89.657,Population A (Community I),Community I (Individual 1)
128,Eastern,Population A,Community I,Individual 1,06.03.19,0.80822,3,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoHW,2,0.720578,720.5780000000001,Population A (Community I),Community I (Individual 1)
128,Eastern,Population A,Community I,Individual 1,06.03.19,0.80822,3,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoHW,1,0.087646,87.646,Population A (Community I),Community I (Individual 1)
129,Eastern,Population A,Community I,Individual 5,06.12.19,0.27229,3,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoMS,2,0.089657,89.657,Population A (Community I),Community I (Individual 5)
129,Eastern,Population A,Community I,Individual 5,06.12.19,0.27229,3,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoMS,1,0.182635,182.635,Population A (Community I),Community I (Individual 5)
130,Eastern,Population A,Community I,Individual 4,06.12.19,0.73718,5,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoZL,1,0.083016,83.016,Population A (Community I),Community I (Individual 4)
130,Eastern,Population A,Community I,Individual 4,06.12.19,0.73718,5,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoZL,3,0.288895,288.89500000000004,Population A (Community I),Community I (Individual 4)
130,Eastern,Population A,Community I,Individual 4,06.12.19,0.73718,5,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoZL,2,0.185956,185.95600000000002,Population A (Community I),Community I (Individual 4)
130,Eastern,Population A,Community I,Individual 4,06.12.19,0.73718,5,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoZL,4,0.179314,179.314,Population A (Community I),Community I (Individual 4)
131,Eastern,Population A,Community I,Individual 4,06.12.19,0.48149,5,With,Build-Up,Climax,1,2,Traveling,Resting,Traveling,SonsoZL,2,0.126184,126.184,Population A (Community I),Community I (Individual 4)
131,Eastern,Population A,Community I,Individual 4,06.12.19,0.48149,5,With,Build-Up,Climax,1,2,Traveling,Resting,Traveling,SonsoZL,3,0.119543,119.54299999999999,Population A (Community I),Community I (Individual 4)
131,Eastern,Population A,Community I,Individual 4,06.12.19,0.48149,5,With,Build-Up,Climax,1,2,Traveling,Resting,Traveling,SonsoZL,1,0.096298,96.298,Population A (Community I),Community I (Individual 4)
131,Eastern,Population A,Community I,Individual 4,06.12.19,0.48149,5,With,Build-Up,Climax,1,2,Traveling,Resting,Traveling,SonsoZL,4,0.139467,139.467,Population A (Community I),Community I (Individual 4)
132,Eastern,Population A,Community I,Individual 9,06.12.19,1.38706,5,With,Unk,Unk,0,0,Resting,Resting,Resting,SonsoSM,2,0.717257,717.2570000000001,Population A (Community I),Community I (Individual 9)
132,Eastern,Population A,Community I,Individual 9,06.12.19,1.38706,5,With,Unk,Unk,0,0,Resting,Resting,Resting,SonsoSM,4,0.371911,371.911,Population A (Community I),Community I (Individual 9)
132,Eastern,Population A,Community I,Individual 9,06.12.19,1.38706,5,With,Unk,Unk,0,0,Resting,Resting,Resting,SonsoSM,3,0.142787,142.787,Population A (Community I),Community I (Individual 9)
132,Eastern,Population A,Community I,Individual 9,06.12.19,1.38706,5,With,Unk,Unk,0,0,Resting,Resting,Resting,SonsoSM,1,0.1551,155.1,Population A (Community I),Community I (Individual 9)
133,Eastern,Population A,Community I,Individual 1,16.11.19,0.07638,2,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,SonsoHW,1,0.076375,76.375,Population A (Community I),Community I (Individual 1)
134,Eastern,Population A,Community I,Individual 1,16.11.19,0.04981,2,Without,0,0,0,0,Display,Display,Display,SonsoHW,1,0.04981,49.81,Population A (Community I),Community I (Individual 1)
135,Eastern,Population A,Community I,Individual 11,21.11.19,2.38422,8,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoPS,1,0.245727,245.727,Population A (Community I),Community I (Individual 11)
135,Eastern,Population A,Community I,Individual 11,21.11.19,2.38422,8,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoPS,3,0.67741,677.41,Population A (Community I),Community I (Individual 11)
135,Eastern,Population A,Community I,Individual 11,21.11.19,2.38422,8,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoPS,6,0.438324,438.324,Population A (Community I),Community I (Individual 11)
135,Eastern,Population A,Community I,Individual 11,21.11.19,2.38422,8,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoPS,5,0.292216,292.21599999999995,Population A (Community I),Community I (Individual 11)
135,Eastern,Population A,Community I,Individual 11,21.11.19,2.38422,8,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoPS,7,0.265651,265.651,Population A (Community I),Community I (Individual 11)
135,Eastern,Population A,Community I,Individual 11,21.11.19,2.38422,8,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoPS,2,0.292216,292.21599999999995,Population A (Community I),Community I (Individual 11)
135,Eastern,Population A,Community I,Individual 11,21.11.19,2.38422,8,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoPS,4,0.172673,172.673,Population A (Community I),Community I (Individual 11)
136,Eastern,Population A,Community I,Individual 2,26.11.19,0.05355,2,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoFK,1,0.053545,53.545,Population A (Community I),Community I (Individual 2)
138,Eastern,Population A,Community I,Individual 1,09.12.19,0.06143,2,With,Climax,Climax,2,2,Resting,Resting,Resting,SonsoHW,1,0.061432,61.432,Population A (Community I),Community I (Individual 1)
139,Eastern,Population A,Community I,Individual 9,09.12.19,2.47885,6,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,SonsoSM,4,1.500927,1500.927,Population A (Community I),Community I (Individual 9)
139,Eastern,Population A,Community I,Individual 9,09.12.19,2.47885,6,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,SonsoSM,5,0.10294,102.94,Population A (Community I),Community I (Individual 9)
139,Eastern,Population A,Community I,Individual 9,09.12.19,2.47885,6,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,SonsoSM,1,0.064752,64.75200000000001,Population A (Community I),Community I (Individual 9)
139,Eastern,Population A,Community I,Individual 9,09.12.19,2.47885,6,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,SonsoSM,3,0.073054,73.05399999999999,Population A (Community I),Community I (Individual 9)
139,Eastern,Population A,Community I,Individual 9,09.12.19,2.47885,6,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,SonsoSM,2,0.737181,737.1809999999999,Population A (Community I),Community I (Individual 9)
140,Eastern,Population A,Community I,Individual 8,09.12.19,0.38851,3,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoJS,2,0.169352,169.352,Population A (Community I),Community I (Individual 8)
140,Eastern,Population A,Community I,Individual 8,09.12.19,0.38851,3,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoJS,1,0.219162,219.162,Population A (Community I),Community I (Individual 8)
141,Eastern,Population A,Community I,Individual 9,09.12.19,0.99685,4,With,Build-Up,Roar,1,1,Traveling,Resting,Traveling,SonsoSM,2,0.859044,859.044,Population A (Community I),Community I (Individual 9)
141,Eastern,Population A,Community I,Individual 9,09.12.19,0.99685,4,With,Build-Up,Roar,1,1,Traveling,Resting,Traveling,SonsoSM,3,0.0913171,91.3171,Population A (Community I),Community I (Individual 9)
141,Eastern,Population A,Community I,Individual 9,09.12.19,0.99685,4,With,Build-Up,Roar,1,1,Traveling,Resting,Traveling,SonsoSM,1,0.046489,46.489000000000004,Population A (Community I),Community I (Individual 9)
142,Eastern,Population A,Community I,Individual 2,09.12.19,0.08966,2,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling,SonsoFK,1,0.089657,89.657,Population A (Community I),Community I (Individual 2)
143,Eastern,Population A,Community I,Individual 1,10.12.19,0.07873,2,With,Unk,Unk,0,0,Resting,Resting,Resting,SonsoHW,1,0.07873,78.72999999999999,Population A (Community I),Community I (Individual 1)
144,Eastern,Population A,Community I,Individual 1,10.12.19,1.08585,4,With,Climax,Climax,2,2,Resting,Traveling,Traveling,SonsoHW,3,0.089657,89.657,Population A (Community I),Community I (Individual 1)
144,Eastern,Population A,Community I,Individual 1,10.12.19,1.08585,4,With,Climax,Climax,2,2,Resting,Traveling,Traveling,SonsoHW,2,0.88661,886.61,Population A (Community I),Community I (Individual 1)
144,Eastern,Population A,Community I,Individual 1,10.12.19,1.08585,4,With,Climax,Climax,2,2,Resting,Traveling,Traveling,SonsoHW,1,0.109581,109.581,Population A (Community I),Community I (Individual 1)
145,Eastern,Population A,Community I,Individual 1,13.12.19,0.0868,2,With,Unk,Unk,0,0,Traveling,AFT,AFT,SonsoHW,1,0.086797,86.797,Population A (Community I),Community I (Individual 1)
146,Eastern,Population A,Community I,Individual 9,13.12.19,0.1129,2,With,Unk,Unk,0,0,Traveling,AFT,AFT,SonsoSM,1,0.112902,112.902,Population A (Community I),Community I (Individual 9)
147,Eastern,Population A,Community I,Individual 2,13.12.19,1.33822,6,Without,0,0,0,0,Display,Display,Display,SonsoFK,2,0.066413,66.413,Population A (Community I),Community I (Individual 2)
147,Eastern,Population A,Community I,Individual 2,13.12.19,1.33822,6,Without,0,0,0,0,Display,Display,Display,SonsoFK,1,0.152749,152.749,Population A (Community I),Community I (Individual 2)
147,Eastern,Population A,Community I,Individual 2,13.12.19,1.33822,6,Without,0,0,0,0,Display,Display,Display,SonsoFK,3,0.78367,783.67,Population A (Community I),Community I (Individual 2)
147,Eastern,Population A,Community I,Individual 2,13.12.19,1.33822,6,Without,0,0,0,0,Display,Display,Display,SonsoFK,4,0.225803,225.803,Population A (Community I),Community I (Individual 2)
147,Eastern,Population A,Community I,Individual 2,13.12.19,1.33822,6,Without,0,0,0,0,Display,Display,Display,SonsoFK,5,0.109581,109.581,Population A (Community I),Community I (Individual 2)
148,Eastern,Population A,Community I,Individual 5,13.12.19,0.07638,2,With,Build-Up,Build-Up,1,1,Traveling,Resting,Traveling,SonsoMS,1,0.076375,76.375,Population A (Community I),Community I (Individual 5)
149,Eastern,Population A,Community I,Individual 2,13.12.19,0.08468,2,Without,0,0,0,0,Display,Display,Display,SonsoFK,1,0.084676,84.676,Population A (Community I),Community I (Individual 2)
150,Eastern,Population A,Community I,Individual 5,14.12.19,0.07139,2,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoMS,1,0.071394,71.394,Population A (Community I),Community I (Individual 5)
151,Eastern,Population A,Community I,Individual 5,14.12.19,0.11788,2,With,Unk,Unk,0,0,Resting,Resting,Resting,SonsoMS,1,0.117883,117.883,Population A (Community I),Community I (Individual 5)
152,Eastern,Population A,Community I,Individual 1,14.12.19,0.09132,2,With,Unk,Unk,0,0,Resting,Resting,Resting,SonsoHW,1,0.091317,91.317,Population A (Community I),Community I (Individual 1)
153,Eastern,Population A,Community I,Individual 5,14.12.19,0.15275,2,With,Roar,Roar,1,1,Resting,Resting,Resting,SonsoMS,1,0.152749,152.749,Population A (Community I),Community I (Individual 5)
154,Eastern,Population A,Community I,Individual 9,18.12.19,0.34203,3,Without,0,0,0,0,Display,Display,Display,SonsoSM,1,0.10294,102.94,Population A (Community I),Community I (Individual 9)
154,Eastern,Population A,Community I,Individual 9,18.12.19,0.34203,3,Without,0,0,0,0,Display,Display,Display,SonsoSM,2,0.239086,239.08599999999998,Population A (Community I),Community I (Individual 9)
155,Eastern,Population A,Community I,Individual 1,19.12.19,0.18596,3,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoHW,2,0.076375,76.375,Population A (Community I),Community I (Individual 1)
155,Eastern,Population A,Community I,Individual 1,19.12.19,0.18596,3,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoHW,1,0.109581,109.581,Population A (Community I),Community I (Individual 1)
156,Eastern,Population A,Community I,Individual 2,23.12.19,1.21867,5,With,Roar,Roar,1,1,Feeding,Resting,Resting,SonsoFK,3,0.391835,391.835,Population A (Community I),Community I (Individual 2)
156,Eastern,Population A,Community I,Individual 2,23.12.19,1.21867,5,With,Roar,Roar,1,1,Feeding,Resting,Resting,SonsoFK,4,0.10626,106.25999999999999,Population A (Community I),Community I (Individual 2)
156,Eastern,Population A,Community I,Individual 2,23.12.19,1.21867,5,With,Roar,Roar,1,1,Feeding,Resting,Resting,SonsoFK,1,0.069733,69.733,Population A (Community I),Community I (Individual 2)
156,Eastern,Population A,Community I,Individual 2,23.12.19,1.21867,5,With,Roar,Roar,1,1,Feeding,Resting,Resting,SonsoFK,2,0.650845,650.845,Population A (Community I),Community I (Individual 2)
157,Eastern,Population A,Community I,Individual 2,23.12.19,0.07638,2,With,Climax,Climax,2,2,Resting,AFT,AFT,SonsoFK,1,0.076375,76.375,Population A (Community I),Community I (Individual 2)
158,Eastern,Population A,Community I,Individual 2,23.12.19,0.0,1,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoFK,1,0.0,0.0,Population A (Community I),Community I (Individual 2)
159,Eastern,Population A,Community I,Individual 1,27.12.19,0.09298,2,With,Build-Up,Build-Up,1,1,Traveling,Resting,Traveling,SonsoHW,1,0.092978,92.97800000000001,Population A (Community I),Community I (Individual 1)
160,Eastern,Population A,Community I,Individual 12,27.12.19,0.32542,2,With,Unk,Unk,0,0,Traveling,Resting,Traveling,SonsoKT,1,0.325422,325.42199999999997,Population A (Community I),Community I (Individual 12)
161,Eastern,Population A,Community I,Individual 1,27.12.19,0.08472,2,With,Climax,Climax,2,2,Resting,Resting,Resting,SonsoHW,1,0.084723,84.72300000000001,Population A (Community I),Community I (Individual 1)
162,Eastern,Population A,Community I,Individual 1,27.12.19,0.07305,2,With,Unk,Unk,0,0,Traveling,Traveling,Traveling,SonsoHW,1,0.073054,73.05399999999999,Population A (Community I),Community I (Individual 1)
163,Eastern,Population A,Community I,Individual 12,27.12.19,0.08634,2,With,Unk,Unk,0,0,Traveling,Traveling,Traveling,SonsoKT,1,0.086337,86.337,Population A (Community I),Community I (Individual 12)
164,Eastern,Population A,Community I,Individual 8,27.12.19,0.80027,5,With,Build-Up,Climax,1,2,Resting,Traveling,Traveling,SonsoJS,4,0.086337,86.337,Population A (Community I),Community I (Individual 8)
164,Eastern,Population A,Community I,Individual 8,27.12.19,0.80027,5,With,Build-Up,Climax,1,2,Resting,Traveling,Traveling,SonsoJS,2,0.488133,488.133,Population A (Community I),Community I (Individual 8)
164,Eastern,Population A,Community I,Individual 8,27.12.19,0.80027,5,With,Build-Up,Climax,1,2,Resting,Traveling,Traveling,SonsoJS,1,0.122864,122.864,Population A (Community I),Community I (Individual 8)
164,Eastern,Population A,Community I,Individual 8,27.12.19,0.80027,5,With,Build-Up,Climax,1,2,Resting,Traveling,Traveling,SonsoJS,3,0.10294,102.94,Population A (Community I),Community I (Individual 8)
165,Eastern,Population A,Community I,Individual 1,27.12.19,0.0797,2,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoHW,1,0.079695,79.69500000000001,Population A (Community I),Community I (Individual 1)
166,Eastern,Population A,Community I,Individual 1,27.12.19,0.08302,2,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoHW,1,0.083016,83.016,Population A (Community I),Community I (Individual 1)
167,Eastern,Population A,Community I,Individual 1,27.12.19,0.0797,2,With,Build-Up,Build-Up,1,1,Traveling,Resting,Traveling,SonsoHW,1,0.079695,79.69500000000001,Population A (Community I),Community I (Individual 1)
168,Eastern,Population A,Community I,Individual 5,30.12.19,0.10626,2,Without,0,0,0,0,Display,Display,Display,SonsoMS,1,0.10626,106.25999999999999,Population A (Community I),Community I (Individual 5)
169,Eastern,Population A,Community I,Individual 5,30.12.19,0.04649,2,Without,0,0,0,0,Display,Display,Display,SonsoMS,1,0.046489,46.489000000000004,Population A (Community I),Community I (Individual 5)
170,Eastern,Population A,Community I,Individual 5,30.12.19,0.42504,3,Without,0,0,0,0,Display,Display,Display,SonsoMS,2,0.179314,179.314,Population A (Community I),Community I (Individual 5)
170,Eastern,Population A,Community I,Individual 5,30.12.19,0.42504,3,Without,0,0,0,0,Display,Display,Display,SonsoMS,1,0.119543,119.54299999999999,Population A (Community I),Community I (Individual 5)
170,Eastern,Population A,Community I,Individual 5,30.12.19,0.42504,3,Without,0,0,0,0,Display,Display,Display,SonsoMS,3,0.126184,126.184,Population A (Community I),Community I (Individual 5)
171,Eastern,Population A,Community I,Individual 5,30.12.19,0.611,2,Without,0,0,0,0,Display,Display,Display,SonsoMS,1,0.610997,610.997,Population A (Community I),Community I (Individual 5)
172,Eastern,Population A,Community I,Individual 1,30.12.19,0.1129,2,With,Unk,Unk,0,0,Traveling,Traveling,Traveling,SonsoHW,1,0.112902,112.902,Population A (Community I),Community I (Individual 1)
173,Eastern,Population A,Community I,Individual 1,04.01.20,1.07589,4,With,Unk,Unk,0,0,Resting,Resting,Resting,SonsoHW,3,0.703975,703.975,Population A (Community I),Community I (Individual 1)
173,Eastern,Population A,Community I,Individual 1,04.01.20,1.07589,4,With,Unk,Unk,0,0,Resting,Resting,Resting,SonsoHW,2,0.089657,89.657,Population A (Community I),Community I (Individual 1)
173,Eastern,Population A,Community I,Individual 1,04.01.20,1.07589,4,With,Unk,Unk,0,0,Resting,Resting,Resting,SonsoHW,1,0.282254,282.254,Population A (Community I),Community I (Individual 1)
174,Eastern,Population A,Community I,Individual 2,04.01.20,0.06309,2,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoFK,1,0.063092,63.092,Population A (Community I),Community I (Individual 2)
175,Eastern,Population A,Community I,Individual 1,06.03.19,2.76277,9,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoHW,8,0.773708,773.708,Population A (Community I),Community I (Individual 1)
175,Eastern,Population A,Community I,Individual 1,06.03.19,2.76277,9,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoHW,7,0.092978,92.97800000000001,Population A (Community I),Community I (Individual 1)
175,Eastern,Population A,Community I,Individual 1,06.03.19,2.76277,9,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoHW,4,0.252368,252.368,Population A (Community I),Community I (Individual 1)
175,Eastern,Population A,Community I,Individual 1,06.03.19,2.76277,9,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoHW,6,0.710616,710.616,Population A (Community I),Community I (Individual 1)
175,Eastern,Population A,Community I,Individual 1,06.03.19,2.76277,9,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoHW,5,0.47153,471.53000000000003,Population A (Community I),Community I (Individual 1)
175,Eastern,Population A,Community I,Individual 1,06.03.19,2.76277,9,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoHW,1,0.162711,162.71099999999998,Population A (Community I),Community I (Individual 1)
175,Eastern,Population A,Community I,Individual 1,06.03.19,2.76277,9,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoHW,3,0.10626,106.25999999999999,Population A (Community I),Community I (Individual 1)
175,Eastern,Population A,Community I,Individual 1,06.03.19,2.76277,9,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoHW,2,0.192597,192.59699999999998,Population A (Community I),Community I (Individual 1)
176,Eastern,Population A,Community I,Individual 1,04.01.20,2.26467,4,Without,0,0,0,0,Display,Display,Display,SonsoHW,1,0.664127,664.1270000000001,Population A (Community I),Community I (Individual 1)
176,Eastern,Population A,Community I,Individual 1,04.01.20,2.26467,4,Without,0,0,0,0,Display,Display,Display,SonsoHW,2,1.401308,1401.308,Population A (Community I),Community I (Individual 1)
176,Eastern,Population A,Community I,Individual 1,04.01.20,2.26467,4,Without,0,0,0,0,Display,Display,Display,SonsoHW,3,0.199238,199.238,Population A (Community I),Community I (Individual 1)
177,Eastern,Population A,Community I,Individual 5,06.01.20,0.29554,4,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoMS,2,0.114562,114.562,Population A (Community I),Community I (Individual 5)
177,Eastern,Population A,Community I,Individual 5,06.01.20,0.29554,4,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoMS,1,0.072224,72.22399999999999,Population A (Community I),Community I (Individual 5)
177,Eastern,Population A,Community I,Individual 5,06.01.20,0.29554,4,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoMS,3,0.108751,108.751,Population A (Community I),Community I (Individual 5)
178,Eastern,Population A,Community I,Individual 5,06.01.20,0.06226,2,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling,SonsoMS,1,0.062262,62.262,Population A (Community I),Community I (Individual 5)
180,Eastern,Population A,Community I,Individual 12,10.01.20,0.10626,2,Without,0,0,0,0,Display,Display,Display,SonsoKT,1,0.10626,106.25999999999999,Population A (Community I),Community I (Individual 12)
181,Eastern,Population A,Community I,Individual 12,10.01.20,0.76043,4,Without,0,0,0,0,Display,Display,Display,SonsoKT,3,0.119543,119.54299999999999,Population A (Community I),Community I (Individual 12)
181,Eastern,Population A,Community I,Individual 12,10.01.20,0.76043,4,Without,0,0,0,0,Display,Display,Display,SonsoKT,2,0.551225,551.2249999999999,Population A (Community I),Community I (Individual 12)
181,Eastern,Population A,Community I,Individual 12,10.01.20,0.76043,4,Without,0,0,0,0,Display,Display,Display,SonsoKT,1,0.089657,89.657,Population A (Community I),Community I (Individual 12)
182,Eastern,Population A,Community I,Individual 12,10.01.20,0.09962,2,Without,0,0,0,0,Display,Display,Display,SonsoKT,1,0.099619,99.619,Population A (Community I),Community I (Individual 12)
183,Eastern,Population A,Community I,Individual 12,10.01.20,0.05712,2,Without,0,0,0,0,Display,Display,Display,SonsoKT,1,0.057121,57.120999999999995,Population A (Community I),Community I (Individual 12)
