,Drumming_bout,Subspecies,Population,Community,Individual,Date,File_Name,Total_bout_duration,Summed_Total_bout_duration,Summed_Total_bout_duration_val,Check_Matching_Total_bout_duration,N_beats,N_Interbeats,Summed_N_Interbeats,Check_Matching_N_Interbeats,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Note_Ph,Context_Before,Context_After,Context,Tree_Species,DBH
191,192,EAC,Budongo,Sonso,MB,10.01.20,"4074 10/01/2020 07;04, MB display drum KA 50.WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,KA,50
192,193,EAC,Budongo,Sonso,HW,10.01.20,"4078 10/01/2020 07;33, HW display drum.WAV",0.06641,0.06641,0.06641,0.0,2,1,1,0,0.066413,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
193,194,EAC,Budongo,Sonso,JS,10.01.20,"4082 10/01/2020 08;29, JS display drum, strange_f pg to JS, KX pg to JS.WAV",0.11954,0.11954,0.11954,0.0,2,1,1,0,0.119543,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
194,195,EAC,Budongo,Sonso,JS,10.01.20,"4082 10/01/2020 08;29, JS display drum, strange_f pg to JS, KX pg to JS.WAV",0.09962,0.09962,0.09962,0.0,2,1,1,0,0.099619,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
195,196,EAC,Budongo,Sonso,JS,10.01.20,"4082 10/01/2020 08;29, JS display drum, strange_f pg to JS, KX pg to JS.WAV",0.43832,0.43832,0.43832,0.0,3,2,2,0,0.116222,0.3221021,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
196,197,EAC,Budongo,Sonso,JS,10.01.20,"4082 10/01/2020 08;29, JS display drum, strange_f pg to JS, KX pg to JS.WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
197,198,EAC,Budongo,Sonso,JS,10.01.20,"4082 10/01/2020 08;29, JS display drum, strange_f pg to JS, KX pg to JS.WAV",0.27229,0.27229,0.27229,0.0,2,1,1,0,0.272292,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
198,199,EAC,Budongo,Sonso,JS,10.01.20,"4082 10/01/2020 08;29, JS display drum, strange_f pg to JS, KX pg to JS.WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
199,200,EAC,Budongo,Sonso,JS,10.01.20,"4082 10/01/2020 08;29, JS display drum, strange_f pg to JS, KX pg to JS.WAV",0.31878,0.31878,0.31878,0.0,2,1,1,0,0.318781,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
200,201,EAC,Budongo,Sonso,KT,11.01.20,"4087 11/01/2020 11;39, KX strange_f scream, KS display drum CYA 60, 2;00 stranger_f KX group ph, stranger_f single ph, 3;00 group pg-ph, 4;00 unk MI group ph, 5;20 KT display drum, 6;00 KT single ph display (CYA 60, CLP 40).WAV",0.74714,0.74714,0.74714,0.0,3,2,2,0,0.564508,0.182635,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,CYA,60
201,202,EAC,Budongo,Sonso,KT,11.01.20,"4087 11/01/2020 11;39, KX strange_f scream, KS display drum CYA 60, 2;00 stranger_f KX group ph, stranger_f single ph, 3;00 group pg-ph, 4;00 unk MI group ph, 5;20 KT display drum, 6;00 KT single ph display (CYA 60, CLP 40).WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,CLP,40
202,203,EAC,Budongo,Sonso,KS,13.01.20,"4120 13/01/2020 12;34, KS display drum, unk_f scream bark, 2;45 KS drum display while traveling CPR 60.WAV",0.19924,0.19924,0.19924,0.0,3,2,2,0,0.131165,0.068073,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
203,204,EAC,Budongo,Sonso,KS,13.01.20,"4120 13/01/2020 12;34, KS display drum, unk_f scream bark, 2;45 KS drum display while traveling CPR 60.WAV",0.04295,0.04295,0.04295,0.0,2,1,1,0,0.042949,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,CPR ,60
204,205,EAC,Budongo,Sonso,MB,15.01.20,"4169 15/01/2020 07;04, MB display drum.WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
205,206,EAC,Budongo,Sonso,MB,15.01.20,"4169 15/01/2020 07;04, MB display drum.WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
206,207,EAC,Budongo,Sonso,MB,15.01.20,"4171 15/01/2020 07;09, MB display drum.WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
207,208,EAC,Budongo,Sonso,FK,15.01.20,"4179 15/01/2020 08;46, FK display drum.WAV",0.63092,0.63092,0.63092,0.0,3,2,2,0,0.099619,0.531302,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
208,209,EAC,Budongo,Sonso,KT,15.01.20,"4191 15/01/2020 10;22, 3;30 KT display drum to KX, JS single ph display B-U (not visible), 7;40 KT display.WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
209,210,EAC,Budongo,Sonso,KS,19.01.20,"4219 19/01/2020 08;57, KS display drum.WAV",0.0963,0.0963,0.0963,0.0,2,1,1,0,0.096298,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
210,211,EAC,Budongo,Sonso,KS,19.01.20,"4219 19/01/2020 08;57, KS display drum.WAV",0.11709,0.11709,0.11709,0.0,2,1,1,0,0.117085,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
211,212,EAC,Budongo,Sonso,HW,20.01.20,"4232 20/01/2020 05;57, HW PS group ph bark drum traveling AB 60.WAV",0.10626,0.10626,0.10626,0.0,2,1,1,0,0.10626,,,,,,,,,,,,,,,,,,,,,,,,,,Unk,Unk,Unk,0,0,Unk because overlap with other calls,Feeding,Traveling,Traveling,AB,60
212,213,EAC,Budongo,Sonso,HW,20.01.20,"4234 20/01/2020 06;03, HW JS group ph drum traveling, JS single ph B-U, JS single ph drum traveling KA 50.WAV_TextGrid",0.05977,0.05977,0.05977,0.0,2,1,1,0,0.059771,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Traveling,Traveling,Traveling,NV,NV
213,214,EAC,Budongo,Sonso,JS,20.01.20,"4234 20/01/2020 06;03, HW JS group ph drum traveling, JS single ph B-U, JS single ph drum traveling KA 50.WAV_TextGrid",0.09962,0.09962,0.09962,0.0,2,1,1,0,0.099619,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,KA,50
214,215,EAC,Budongo,Sonso,JS,20.01.20,"4240 20/01/2020 06;46, 1;30 JS single ph drum traveling FSU 70.WAV",0.1129,0.1129,0.1129,0.0,2,1,1,0,0.112902,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Traveling,Traveling,Traveling,FSU,70
215,216,EAC,Budongo,Sonso,PS,20.01.20,"4256 20/01/2020 08;17, KY pg to PS, PS single ph display drum CYA 50, 2;20 PS single ph drum traveling CYA 70.WAV",0.93974,0.93974,0.93974,0.0,8,7,7,0,0.122864,0.15939,0.172673,0.04981,0.219162,0.099619,0.116222,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Unk because overlap with other calls,Display,Display,Display,CYA,50
216,217,EAC,Budongo,Sonso,PS,20.01.20,"4256 20/01/2020 08;17, KY pg to PS, PS single ph display drum CYA 50, 2;20 PS single ph drum traveling CYA 70.WAV",0.94188,0.94188,0.94188,0.0,5,4,4,0,0.159552,0.22559,0.268403,0.288334,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,CYA,70
217,218,EAC,Budongo,Sonso,SM,20.01.20,"4258 20/01/2020 08;30, SM PS group ph drum approaching (SM), 2;00 PS HW SM JL group ph.WAV",0.85165,0.85165,0.85165,0.0,3,2,2,0,0.084585,0.767067,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Unk,1,1,Unk because overlap with other calls,Traveling,Traveling,Traveling,NV,NV
218,219,EAC,Budongo,Sonso,HW,20.01.20,"4265 20/01/2020 09;22, HW KT FK group ph drum traveling-resting, HW single ph drum resting during travel, group ph 50m, SM FK unk group ph drum.WAV",0.06475,0.06475,0.06475,0.0,2,1,1,0,0.064752,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Unk because overlap with other calls,Traveling,Resting,Traveling,NV,90
219,220,EAC,Budongo,Sonso,HW,20.01.20,"4265 20/01/2020 09;22, HW KT FK group ph drum traveling-resting, HW single ph drum resting during travel, group ph 50m, SM FK unk group ph drum.WAV",0.71394,0.71394,0.71394,0.0,3,2,2,0,0.089657,0.624279,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Resting,Resting,Resting,NV,90
220,221,EAC,Budongo,Sonso,HW,20.01.20,"4266 20/01/2020 09;23, HW KT group ph drum traveling CMI.WAV",0.09962,0.09962,0.09962,0.0,2,1,1,0,0.099619,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,No Climax,Traveling,Traveling,Traveling,CMI,NV
221,222,EAC,Budongo,Sonso,FK,20.01.20,"4271 20/01/2020 10;21, SM PS IN group ph drum AB 80, 1;50 SM PS group ph drum AB 80, 4;00 PS group ph, 6;40 FK MB PS KT unk group ph, 9;00 SM display drum, 11;00 PS single ph feeding, FK single ph feeding, 17;05 unk single ph.WAV",0.18596,0.18596,0.18596,0.0,2,1,1,0,0.185956,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Traveling,AFT,AFT,AB,100
222,223,EAC,Budongo,Sonso,SM,23.01.20,"4292 23/01/2020 06;31 SM FK group ph drum KA 70, 2;25 FK HW group ph drum FK KA 50, FK bark, HW SM display (HW single ph B-U), unk_f scream, 4;00 SM single ph drum display (CMI 40 and KA 80), 13;00 FK HW SM group ph drum (HW rest.WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,CMI,40
223,224,EAC,Budongo,Sonso,SM,23.01.20,"4292 23/01/2020 06;31 SM FK group ph drum KA 70, 2;25 FK HW group ph drum FK KA 50, FK bark, HW SM display (HW single ph B-U), unk_f scream, 4;00 SM single ph drum display (CMI 40 and KA 80), 13;00 FK HW SM group ph drum (HW rest.WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Display,Display,Display,KA,80
224,225,EAC,Budongo,Sonso,SM,23.01.20,4293 23/01/2020 06;34 FK SM group ph drum resting-traveling-resting (both KA 60).WAV,0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Unk because overlap with other calls,Resting,Traveling,Traveling,KA,60
225,226,EAC,Budongo,Sonso,SM,23.01.20,4299 23/01/2020 07;09 SM single ph drum traveling FPO 60.WAV,3.73004,3.73004,3.73004,0.0,12,11,11,0,0.083981,0.252368,0.059771,0.192597,0.066413,0.185956,0.099619,0.36527,1.487645,0.285575,0.650845,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,Traveling,Traveling,Traveling,FPO,60
226,227,EAC,Budongo,Sonso,HW,23.01.20,"4317 23/01/2020 10;44 HW SM display to unk (not visible), PS display to OK, OK scream, PS scream, 2;35 PS SM HW unk group ph, 3;45 HW display drum.WAV",0.07638,0.07638,0.07638,0.0,2,1,1,0,0.076375,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
227,228,EAC,Budongo,Sonso,KS,23.01.20,"4321 23/01/2020 11;23 KS display drum KA 80, SM display drum KA 80, unk display.WAV",0.0797,0.0797,0.0797,0.0,2,1,1,0,0.079695,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,KA,80
228,229,EAC,Budongo,Sonso,KS,23.01.20,"4321 23/01/2020 11;23 KS display drum KA 80, SM display drum KA 80, unk display.WAV",0.09298,0.09298,0.09298,0.0,2,1,1,0,0.092978,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,KA,80
229,230,EAC,Budongo,Sonso,SM,23.01.20,"4321 23/01/2020 11;23 KS display drum KA 80, SM display drum KA 80, unk display.WAV",0.06641,0.06641,0.06641,0.0,2,1,1,0,0.066413,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
230,231,EAC,Budongo,Sonso,HW,23.01.20,"4324 23/01/2020 11;29 HW SM group ph drum (HW traveling FSU 40, SM traveling-resting FSU 40).WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Unk because overlap with other calls,Traveling,Traveling,Traveling,FSU,40
231,232,EAC,Budongo,Sonso,SM,23.01.20,"4324 23/01/2020 11;29 HW SM group ph drum (HW traveling FSU 40, SM traveling-resting FSU 40).WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Unk because overlap with other calls,Traveling,Resting,Traveling,FSU,40
232,233,EAC,Budongo,Sonso,JS,28.01.20,4420 28/01/2020 11;52 JS single ph B-U display drum.WAV,0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
233,234,EAC,Budongo,Sonso,JS,28.01.20,4420 28/01/2020 11;52 JS single ph B-U display drum.WAV,0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
234,235,EAC,Budongo,Sonso,MS,29.01.20,4435 29/01/2020 07;38 MS single ph drum traveling.WAV,2.47455,2.47455,2.47455,0.0,7,6,6,0,0.156742,0.637562,0.239086,0.275613,0.355308,0.810235,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,Resting,Traveling,Traveling,NV,NV
235,236,EAC,Budongo,Sonso,MS,29.01.20,"4445 29/01/2020 09;16 KT MS group ph drum traveling (resting), 2;20 KT whimper, MS single ph drum, KT bark.WAV",0.28225,0.28225,0.28225,0.0,2,1,1,0,0.175994,0.10626,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Resting,Resting,Resting,NV,NV
236,237,EAC,Budongo,Sonso,MS,29.01.20,4453 29/01/2020 10;55 MS MB group ph drum resting.WAV,3.07491,3.07491,3.07491,0.0,4,3,3,0,0.126184,1.467721,1.481003,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Unk because overlap with other calls,Resting,Resting,Resting,NV,NV
237,238,EAC,Budongo,Sonso,MS,29.01.20,4454 29/01/2020 10;58 MS MB group ph drum resting.WAV,2.31521,2.31521,2.31521,0.0,5,4,4,0,0.110306,0.777029,1.30833,0.119543,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Unk,1,0,Unk because overlap with other calls,Resting,Resting,Resting,NV,NV
238,239,EAC,Budongo,Sonso,MS,29.01.20,"4461 29/01/2020 11;55 KC PS MS HW group ph, HW MS KC PS group ph drum (MS traveling), PS HW unk group ph.WAV",0.13615,0.13615,0.13615,0.0,2,1,1,0,0.136146,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Unk because overlap with other calls,Traveling,Traveling,Traveling,NV,NV
239,240,EAC,Budongo,Sonso,JS,29.01.20,4468 29/01/2020 12;21 JS single ph drum traveling.WAV,0.09398,0.09398,0.09398,0.0,2,1,1,0,0.093977,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,No Climax,Traveling,Traveling,Traveling,NV,NV
240,241,EAC,Budongo,Sonso,FK,01.02.20,"4505 01/02/2020 08;48 FK single ph drum traveling CMI 20, 3;30 ZD pg to FK, FK single ph feeding.WAV",0.08634,0.08634,0.08634,0.0,2,1,1,0,0.086337,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Traveling,Traveling,Traveling,CMI,20
241,242,EAC,Budongo,Sonso,MS,01.02.20,"4529 01/02/2020 11;41 MS single ph drum display to FK, unk scream .WAV",0.0963,0.0963,0.0963,0.0,2,1,1,0,0.096298,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,"Ph roar (like BUp), No climax",Display,Display,Display,NV,NV
242,243,EAC,Budongo,Sonso,MS,02.02.20,4564 02/02/2020 05;54 MS single ph drum travel COG 30.WAV,0.27893,0.27893,0.27893,0.0,2,1,1,0,0.278933,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,COG,30
243,244,EAC,Budongo,Sonso,FK,27.02.20,"4567 27/02/2020 06;05 KC display drum (not visible and FP 60), FK SM group ph drum (both traveling KA 80), 1;50 ZL single ph drum travel KA 80.WAV",0.09298,0.09298,0.09298,0.0,2,1,1,0,0.092978,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Unk because overlap with other calls,Traveling,Traveling,Traveling,KA,80
244,245,EAC,Budongo,Sonso,SM,27.02.20,"4567 27/02/2020 06;05 KC display drum (not visible and FP 60), FK SM group ph drum (both traveling KA 80), 1;50 ZL single ph drum travel KA 80.WAV",0.80359,0.80359,0.80359,0.0,3,2,2,0,0.079695,0.723898,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Unk because overlap with other calls,Traveling,Traveling,Traveling,KA,80
245,246,EAC,Budongo,Sonso,ZL,27.02.20,"4567 27/02/2020 06;05 KC display drum (not visible and FP 60), FK SM group ph drum (both traveling KA 80), 1;50 ZL single ph drum travel KA 80.WAV",0.25237,0.25237,0.25237,0.0,3,2,2,0,0.166032,0.086337,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,KA,80
246,247,EAC,Budongo,Sonso,ZL,27.02.20,"4582 27/02/2020 08;44 0;30 ZL display drum CZE 20 and FE 60, 2;00 ZL single ph feeding.WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,CZE,20
247,248,EAC,Budongo,Sonso,ZL,27.02.20,"4582 27/02/2020 08;44 0;30 ZL display drum CZE 20 and FE 60, 2;00 ZL single ph feeding.WAV",0.61764,0.61764,0.61764,0.0,5,4,4,0,0.166032,0.15939,0.139467,0.152749,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,FE,60
248,249,EAC,Budongo,Sonso,PS,27.02.20,"4593 27/02/2020 10;10 PS single ph drum arrived KA 80, ZL single ph intro.WAV",1.43451,1.43451,1.43451,0.0,5,4,4,0,0.152749,0.066413,1.089168,0.126184,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Traveling,Resting,Traveling,KA,80
249,250,EAC,Budongo,Sonso,PS,27.02.20,"4594 27/02/2020 10;13 unk single ph, 1;00 ZL PS group ph drum KA 80 and FM 60 resting.WAV",1.57624,1.57624,1.57624,0.0,4,3,3,0,0.098552,0.212521,1.265162,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Unk,3,0,After LD,Resting,Resting,Resting,KA,80
250,251,EAC,Budongo,Sonso,PS,27.02.20,"4594 27/02/2020 10;13 unk single ph, 1;00 ZL PS group ph drum KA 80 and FM 60 resting.WAV",1.75994,1.75994,1.75994,0.0,9,8,8,0,0.073054,0.305498,0.139467,0.192597,0.059771,0.438324,0.272771,0.278454,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,Continuation of previous drum,Resting,Resting,Resting,FM,60
251,252,EAC,Budongo,Sonso,ZL,27.02.20,4615 27/02/2020 13;09 ZL single ph drum resting BP 60.WAV,0.11954,0.11954,0.11954,0.0,2,1,1,0,0.119543,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Resting,Resting,Resting,BP,60
252,253,EAC,Budongo,Sonso,HW,27.02.20,4617 27/02/2020 13;16 HW ZL group ph drum traveling BP 60.WAV,0.10626,0.10626,0.10626,0.0,2,1,1,0,0.10626,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Traveling,Traveling,Traveling,BP,60
253,254,EAC,Budongo,Sonso,JS,28.02.20,"4634 28/02/2020 07;34 JS display drum FM 70 and CZE 60, JS single ph B-U display, JS single ph drum traveling STD 60.WAV",0.06641,0.06641,0.06641,0.0,2,1,1,0,0.066413,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,FM,70
254,255,EAC,Budongo,Sonso,JS,28.02.20,"4634 28/02/2020 07;34 JS display drum FM 70 and CZE 60, JS single ph B-U display, JS single ph drum traveling STD 60.WAV",0.09464,0.09464,0.09464,0.0,2,1,1,0,0.094638,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,CZE,60
255,256,EAC,Budongo,Sonso,SM,28.02.20,4635 28/02/2020 07;38 SM single ph drum display.WAV,1.07069,1.07069,1.07069,0.0,4,3,3,0,0.466333,0.089657,0.514698,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,Display,Display,Display,NV,NV
256,257,EAC,Budongo,Sonso,KC,28.02.20,4667 28/02/2020 14;06 NB KC KL group ph drum traveling CYA 30.WAV,0.15826,0.15826,0.15826,0.0,2,1,1,0,0.158261,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Display,Display,Display,CYA,30
257,258,EAC,Budongo,Sonso,KC,28.02.20,4667 28/02/2020 14;06 NB KC KL group ph drum traveling CYA 30.WAV,0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Display,Display,Display,NV,NV
258,259,EAC,Budongo,Sonso,KC,28.02.20,"4668 28/02/2020 14;09 KL KC group ph drum (KC FE 30 traveling-resting-AFT), KO scream.WAV",0.19954,0.19954,0.19954,0.0,2,1,1,0,0.199543,,,,,,,,,,,,,,,,,,,,,,,,,,Unk,Unk,Unk,0,0,Unk because overlap with other calls,Traveling,AFT,AFT,FE,30
259,260,EAC,Budongo,Sonso,PS,03.03.20,4690 03/03/2020 14;05 PS display drum KA 80.WAV,2.36097,2.36097,2.36097,0.0,4,3,3,0,0.122864,2.115245,0.122864,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,KA,80
260,261,EAC,Budongo,Sonso,MS,03.03.20,"4694 03/03/2020 14;24 MS single ph display drum, MS display, 3;30 KQ juvenile group ph.WAV",0.50474,0.50474,0.50474,0.0,3,2,2,0,0.152749,0.351987,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,FUE,10
261,262,EAC,Budongo,Sonso,MS,03.03.20,"4694 03/03/2020 14;24 MS single ph display drum, MS display, 3;30 KQ juvenile group ph.WAV",1.00283,1.00283,1.00283,0.0,3,2,2,0,0.245727,0.757105,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,KA,80
262,263,EAC,Budongo,Sonso,MS,03.03.20,"4694 03/03/2020 14;24 MS single ph display drum, MS display, 3;30 KQ juvenile group ph.WAV",0.23909,0.23909,0.23909,0.0,2,1,1,0,0.239086,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,KA,40
263,264,EAC,Budongo,Sonso,MS,03.03.20,"4694 03/03/2020 14;24 MS single ph display drum, MS display, 3;30 KQ juvenile group ph.WAV",0.29222,0.29222,0.29222,0.0,3,2,2,0,0.201361,0.090855,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
264,265,EAC,Budongo,Sonso,MS,05.03.20,"4717 05/03/2020 10;46 PS single ph, FK display (not visible), MS display drum, JN single pg-ph intro.WAV",0.12286,0.12286,0.12286,0.0,2,1,1,0,0.122864,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
265,266,EAC,Budongo,Sonso,MS,05.03.20,"4717 05/03/2020 10;46 PS single ph, FK display (not visible), MS display drum, JN single pg-ph intro.WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
266,267,EAC,Budongo,Sonso,PS,13.03.20,4789 13/03/2020 11;57 PS single ph drum traveling KA 50.WAV,2.14513,2.14513,2.14513,0.0,11,10,10,0,0.166032,0.15939,0.425041,0.192597,0.179314,0.197578,0.307159,0.079695,0.185956,0.252368,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,Traveling,Traveling,Traveling,KA,50
267,268,EAC,Budongo,Sonso,KS,16.03.20,"4845 16/03/2020 11;02 0;30 KS display drum, 2;00 KS single ph (display?) to unk_f.WAV",0.77039,0.77039,0.77039,0.0,3,2,2,0,0.073054,0.697333,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
268,269,EAC,Budongo,Sonso,KS,16.03.20,"4845 16/03/2020 11;02 0;30 KS display drum, 2;00 KS single ph (display?) to unk_f.WAV",0.04151,0.04151,0.04151,0.0,2,1,1,0,0.041508,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
269,270,EAC,Budongo,Sonso,KS,16.03.20,"4845 16/03/2020 11;02 0;30 KS display drum, 2;00 KS single ph (display?) to unk_f.WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
