,Drumming_bout,Subspecies,Population,Community,Individual,Date,File_Name,Total_bout_duration,Summed_Total_bout_duration,Summed_Total_bout_duration_val,Check_Matching_Total_bout_duration,N_beats,N_Interbeats,Summed_N_Interbeats,Check_Matching_N_Interbeats,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Note_Ph,Context_Before,Context_After,Context,Tree_Species,DBH
16,17,EAC,Budongo,Sonso,ZD,13.11.18,ASO1032 Sonso ZD single ph drum traveling.WAV,0.89854,0.89854,0.89854,0.0,4,3,3,0,0.050142,0.778196,0.070198,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Same call as before but drummed on other tree in BUp after Climax/LD,Traveling,Traveling,Traveling,NV,NV
17,18,EAC,Budongo,Sonso,ZD,13.11.18,ASO1033 Sonso ZD single ph drum traveling.WAV,0.84577,0.84577,0.84577,0.0,3,2,2,0,0.111705,0.734065,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV
18,19,EAC,Budongo,Sonso,ZD,13.11.18,ASO1034 Sonso ZD single ph drum traveling.WAV,0.70614,0.70614,0.70614,0.0,4,3,3,0,0.053567,0.574485,0.078086,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Same call as before but drummed on other tree in BUp after Climax/LD,Traveling,Traveling,Traveling,NV,NV
19,20,EAC,Budongo,Sonso,ZD,13.11.18,"ASO1035 Sonso unk group ph 100m, 0;30 ZD single ph drum (traveling-AFT), FK unk single ph drum 100m.WAV",0.48537,0.48537,0.48537,0.0,3,2,2,0,0.102289,0.383081,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Let-Down,2,3,NV,Traveling,AFT,AFT,NV,NV
20,21,EAC,Budongo,Sonso,FK,13.11.18,ASO1070 Sonso FK single ph drum (beh data - resting).WAV,0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,BuildUp after Climax,Resting,NV,Resting,NV,NV
21,22,EAC,Budongo,Sonso,FK,13.11.18,"ASO1079 Sonso FK single ph drum ( beh data - traveling), unk_m single ph.WAV",1.44673,1.44673,1.44673,0.0,4,3,3,0,0.071511,1.267031,0.108184,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Overlap with other calls,Traveling,Traveling,Traveling,NV,NV
22,23,EAC,Budongo,Sonso,FK,13.11.18,"ASO1080 Sonso Thermal Camera FK resting, FK single ph drum.WAV",2.04176,2.04176,2.04176,0.0,8,7,7,0,0.072204,0.581641,0.068192,0.581641,0.064181,0.605709,0.068192,,,,,,,,,,,,,,,,,,,,With,Build-Up,Let-Down,1,3,BuildUp after Climax,Traveling,Traveling,Traveling,NV,NV
23,24,EAC,Budongo,Sonso,JS,21.11.18,"ASO1116  Sonso JS single ph drum (beh data - resting), HW RH group ph.WAV",0.12636,0.12636,0.12636,0.0,2,1,1,0,0.126357,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,Resting,Resting,Resting,NV,NV
24,25,EAC,Budongo,Sonso,SM,22.11.18,ASO1126 Sonso SM single ph drum (beh data - traveling).WAV,4.39091,4.39091,4.39091,0.0,8,7,7,0,0.104886,0.161515,0.550621,0.948826,0.910359,0.966594,0.748104,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Traveling,Traveling,Traveling,NV,NV
25,26,EAC,Budongo,Sonso,KZ,30.11.18,ASO1231 Sonso KZ single ph drum resting-traveling (beh data resting-traveling-AFT).WAV,0.85441,0.85441,0.85441,0.0,5,4,4,0,0.072204,0.180509,0.328928,0.27277,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Resting,Enter tree,AFT,NV,NV
