Drumming_bout,Subspecies,Population,Community,Individual,Pop_com_code,Com_indiv_code,Date,File_Name_hidden,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Note_Ph,Context_Before,Context_After,Context,Tree_Species,DBH,Com_indiv,Total_bout_duration,Summed_Total_bout_duration,N_beats,Bout_cv,Bout_npvi,Bout_entropy,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,Interbeat 27
22,EAC,Budongo,Sonso,FK,Budongo (Sonso),Sonso (FK),13.11.18,"ASO1079 Sonso FK single ph drum ( beh data - traveling), unk_m single ph.WAV",With,Unk,Unk,0,0,Overlap with other calls,Traveling,Traveling,Traveling,NV,NV,Sonso_FK,1.44673,1.44673,4,1.1511472473355415,86.79084809194258,1.3082708345352603,0.071511,1.267031,0.108184,,,,,,,,,,,,,,,,,,,,,,,,
23,EAC,Budongo,Sonso,FK,Budongo (Sonso),Sonso (FK),13.11.18,"ASO1080 Sonso Thermal Camera FK resting, FK single ph drum.WAV",With,Build-Up,Let-Down,1,3,BuildUp after Climax,Traveling,Traveling,Traveling,NV,NV,Sonso_FK,2.04176,2.04176,8,0.8851385,14.992029132628065,3.4170300778499567,0.072204,0.581641,0.068192,0.581641,0.064181,0.605709,0.068192,,,,,,,,,,,,,,,,,,,,
25,EAC,Budongo,Sonso,SM,Budongo (Sonso),Sonso (SM),22.11.18,ASO1126 Sonso SM single ph drum (beh data - traveling).WAV,With,Build-Up,Build-Up,1,1,NV,Traveling,Traveling,Traveling,NV,NV,Sonso_SM,4.39091,4.39091,8,0.5419514855069726,51.069927621645945,2.7664414810694944,0.104886,0.161515,0.550621,0.948826,0.910359,0.966594,0.748104,,,,,,,,,,,,,,,,,,,,
33,EAC,Budongo,Sonso,PS,Budongo (Sonso),Sonso (PS),31.03.19,1952 PS single ph drum traveling (beh data-traveling).WAV,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV,Sonso_PS,2.22895,2.22895,13,0.443794985,30.581517263523708,0,0.148619,0.208388,0.077477,0.199741,0.116216,0.189686,0.092171,0.238227,0.081485,0.354858,0.27785,0.244231,,,,,,,,,,,,,,,
43,EAC,Budongo,Sonso,MS,Budongo (Sonso),Sonso (MS),16.04.19,"2160 Thermal Camera (cont) MS single ph drum (beh data-resting), group ph 50m, group ph 100m.WAV",With,Roar,Climax,1,2,NV,Resting,Resting,Resting,NV,NV,Sonso_MS,1.11407,1.11407,4,0.9614517482254711,61.935854014171234,1.3082708345352603,0.167692,0.873327,0.073054,,,,,,,,,,,,,,,,,,,,,,,,
44,EAC,Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),07.06.19,2565 ZD single ph drum traveling (beh data-traveling).WAV,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,Sonso_ZD,0.84676,0.84676,4,0.9235907877261113,37.236248239607804,1.3082708345352603,0.097129,0.650921,0.098713,,,,,,,,,,,,,,,,,,,,,,,,
49,EAC,Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),07.06.19,2570 ZD single ph drum traveling (beh data-traveling).WAV,With,Pause,Climax,1,2,Pause BuildUp-Climax,Traveling,Traveling,Traveling,NV,NV,Sonso_ZD,0.78367,0.78367,3,0.7711868516084577,77.11868516084576,1,0.089657,0.694013,,,,,,,,,,,,,,,,,,,,,,,,,
50,EAC,Budongo,Sonso,PS,Budongo (Sonso),Sonso (PS),26.06.19,2822 PS single ph drum (beh data-traveling).WAV,With,Let-Down,Let-Down,3,3,NV,Traveling,Resting,Traveling,NV,NV,Sonso_PS,0.42836,0.42836,4,0.677965929,40.08517327152096,0,0.087167,0.278933,0.062262,,,,,,,,,,,,,,,,,,,,,,,,
51,EAC,Budongo,Sonso,HW,Budongo (Sonso),Sonso (HW),14.07.19,"3080 HW single ph drum traveling, 2;00 HW single ph drum traveling-resting, 5;20 HW single ph drum traveling-resting.WAV",With,Build-Up,Build-Up,1,1,No Climax,Traveling,Traveling,Traveling,NV,NV,Sonso_HW,1.74665,1.74665,5,0.9122690204044197,82.77128726,2,0.082644,0.571149,0.063092,1.029768,,,,,,,,,,,,,,,,,,,,,,,
52,EAC,Budongo,Sonso,HW,Budongo (Sonso),Sonso (HW),14.07.19,"3080 HW single ph drum traveling, 2;00 HW single ph drum traveling-resting, 5;20 HW single ph drum traveling-resting.WAV",With,Build-Up,Climax,1,2,NV,Traveling,Resting,Traveling,NV,NV,Sonso_HW,1.04419,1.04419,6,0.588406814,27.13159600804982,1.4945555226170317,0.101181,0.210457,0.437102,0.101181,0.194268,,,,,,,,,,,,,,,,,,,,,,
