Drumming_bout,Subspecies,Population,Community,Date,Total_bout_duration,Summed_Total_bout_duration,Summed_Total_bout_duration_val,Check_Matching_Total_bout_duration,N_beats,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Note_Ph,Context_Before,Context_After,Context,Tree_Species,DBH,IBI_i,IBI,IBI_ms,Pop_com_code,Com_indiv_code,Individual,File_Name,Com_indiv,Bout_cv,Bout_npvi,IBI_cluster,Bout_entropy
7,EAC,Budongo,Sonso,27.10.18,1.26184,1.26184,1.26184,0,13,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,10,0.066413,66.413,Budongo (Sonso),Sonso (ZL),ZL,"ASO778 Sonso ZL single ph start, ZL single ph drum (beh data - traveling-resting).WAV",Sonso_ZL,0.31614015033523385,24.399570241253183,short,0
7,EAC,Budongo,Sonso,27.10.18,1.26184,1.26184,1.26184,0,13,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,11,0.152749,152.749,Budongo (Sonso),Sonso (ZL),ZL,"ASO778 Sonso ZL single ph start, ZL single ph drum (beh data - traveling-resting).WAV",Sonso_ZL,0.31614015033523385,24.399570241253183,short,0
7,EAC,Budongo,Sonso,27.10.18,1.26184,1.26184,1.26184,0,13,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,12,0.043168,43.168,Budongo (Sonso),Sonso (ZL),ZL,"ASO778 Sonso ZL single ph start, ZL single ph drum (beh data - traveling-resting).WAV",Sonso_ZL,0.31614015033523385,24.399570241253183,short,0
8,EAC,Budongo,Sonso,27.10.18,1.49429,1.49428,1.49428,0,15,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,1,0.06593,65.93,Budongo (Sonso),Sonso (ZL),ZL,ASO780 Sonso ZL single ph drum (beh data - traveling) .WAV,Sonso_ZL,0.29630237396372505,21.829430780232475,short,0
8,EAC,Budongo,Sonso,27.10.18,1.49429,1.49428,1.49428,0,15,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,2,0.131165,131.165,Budongo (Sonso),Sonso (ZL),ZL,ASO780 Sonso ZL single ph drum (beh data - traveling) .WAV,Sonso_ZL,0.29630237396372505,21.829430780232475,short,0
8,EAC,Budongo,Sonso,27.10.18,1.49429,1.49428,1.49428,0,15,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,3,0.059771,59.771,Budongo (Sonso),Sonso (ZL),ZL,ASO780 Sonso ZL single ph drum (beh data - traveling) .WAV,Sonso_ZL,0.29630237396372505,21.829430780232475,short,0
8,EAC,Budongo,Sonso,27.10.18,1.49429,1.49428,1.49428,0,15,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,4,0.111241,111.241,Budongo (Sonso),Sonso (ZL),ZL,ASO780 Sonso ZL single ph drum (beh data - traveling) .WAV,Sonso_ZL,0.29630237396372505,21.829430780232475,short,0
8,EAC,Budongo,Sonso,27.10.18,1.49429,1.49428,1.49428,0,15,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,5,0.059771,59.771,Budongo (Sonso),Sonso (ZL),ZL,ASO780 Sonso ZL single ph drum (beh data - traveling) .WAV,Sonso_ZL,0.29630237396372505,21.829430780232475,short,0
8,EAC,Budongo,Sonso,27.10.18,1.49429,1.49428,1.49428,0,15,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,6,0.164371,164.37099999999998,Budongo (Sonso),Sonso (ZL),ZL,ASO780 Sonso ZL single ph drum (beh data - traveling) .WAV,Sonso_ZL,0.29630237396372505,21.829430780232475,short,0
8,EAC,Budongo,Sonso,27.10.18,1.49429,1.49428,1.49428,0,15,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,7,0.079695,79.69500000000001,Budongo (Sonso),Sonso (ZL),ZL,ASO780 Sonso ZL single ph drum (beh data - traveling) .WAV,Sonso_ZL,0.29630237396372505,21.829430780232475,short,0
8,EAC,Budongo,Sonso,27.10.18,1.49429,1.49428,1.49428,0,15,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,8,0.126184,126.184,Budongo (Sonso),Sonso (ZL),ZL,ASO780 Sonso ZL single ph drum (beh data - traveling) .WAV,Sonso_ZL,0.29630237396372505,21.829430780232475,short,0
8,EAC,Budongo,Sonso,27.10.18,1.49429,1.49428,1.49428,0,15,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,9,0.141127,141.127,Budongo (Sonso),Sonso (ZL),ZL,ASO780 Sonso ZL single ph drum (beh data - traveling) .WAV,Sonso_ZL,0.29630237396372505,21.829430780232475,short,0
8,EAC,Budongo,Sonso,27.10.18,1.49429,1.49428,1.49428,0,15,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,10,0.086337,86.337,Budongo (Sonso),Sonso (ZL),ZL,ASO780 Sonso ZL single ph drum (beh data - traveling) .WAV,Sonso_ZL,0.29630237396372505,21.829430780232475,short,0
8,EAC,Budongo,Sonso,27.10.18,1.49429,1.49428,1.49428,0,15,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,11,0.129505,129.505,Budongo (Sonso),Sonso (ZL),ZL,ASO780 Sonso ZL single ph drum (beh data - traveling) .WAV,Sonso_ZL,0.29630237396372505,21.829430780232475,short,0
8,EAC,Budongo,Sonso,27.10.18,1.49429,1.49428,1.49428,0,15,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,12,0.097959,97.959,Budongo (Sonso),Sonso (ZL),ZL,ASO780 Sonso ZL single ph drum (beh data - traveling) .WAV,Sonso_ZL,0.29630237396372505,21.829430780232475,short,0
8,EAC,Budongo,Sonso,27.10.18,1.49429,1.49428,1.49428,0,15,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,13,0.132825,132.825,Budongo (Sonso),Sonso (ZL),ZL,ASO780 Sonso ZL single ph drum (beh data - traveling) .WAV,Sonso_ZL,0.29630237396372505,21.829430780232475,short,0
8,EAC,Budongo,Sonso,27.10.18,1.49429,1.49428,1.49428,0,15,With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,14,0.108403,108.403,Budongo (Sonso),Sonso (ZL),ZL,ASO780 Sonso ZL single ph drum (beh data - traveling) .WAV,Sonso_ZL,0.29630237396372505,21.829430780232475,short,0
9,EAC,Budongo,Sonso,27.10.18,1.57962,1.57962,1.57962,0,16,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,1,0.12186,121.86,Budongo (Sonso),Sonso (ZL),ZL,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,Sonso_ZL,0.3150982183803499,21.562652084901117,short,0
9,EAC,Budongo,Sonso,27.10.18,1.57962,1.57962,1.57962,0,16,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,2,0.10294,102.94,Budongo (Sonso),Sonso (ZL),ZL,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,Sonso_ZL,0.3150982183803499,21.562652084901117,short,0
9,EAC,Budongo,Sonso,27.10.18,1.57962,1.57962,1.57962,0,16,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,3,0.092978,92.97800000000001,Budongo (Sonso),Sonso (ZL),ZL,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,Sonso_ZL,0.3150982183803499,21.562652084901117,short,0
9,EAC,Budongo,Sonso,27.10.18,1.57962,1.57962,1.57962,0,16,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,4,0.069733,69.733,Budongo (Sonso),Sonso (ZL),ZL,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,Sonso_ZL,0.3150982183803499,21.562652084901117,short,0
9,EAC,Budongo,Sonso,27.10.18,1.57962,1.57962,1.57962,0,16,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,5,0.092978,92.97800000000001,Budongo (Sonso),Sonso (ZL),ZL,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,Sonso_ZL,0.3150982183803499,21.562652084901117,short,0
9,EAC,Budongo,Sonso,27.10.18,1.57962,1.57962,1.57962,0,16,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,6,0.142787,142.787,Budongo (Sonso),Sonso (ZL),ZL,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,Sonso_ZL,0.3150982183803499,21.562652084901117,short,0
